id,state,y,x
429,JUVENILE,5.0,225.0
430,JUVENILE,5.0,225.0
431,JUVENILE,5.0,225.0
432,ADULT_MALE,9.0,214.0
433,JUVENILE,5.0,225.0
434,JUVENILE,307.0,173.0
435,ADULT_FEMALE_G,280.0,174.0
436,JUVENILE,11.0,169.0
437,ADULT_FEMALE_G,300.0,166.0
438,ADULT_FEMALE_G,8.0,220.0
439,JUVENILE,5.0,225.0
440,ADULT_FEMALE_G,288.0,173.0
441,JUVENILE,11.0,169.0
442,JUVENILE,5.0,225.0
443,ADULT_FEMALE_G,44.0,8.0
444,JUVENILE,11.0,169.0
445,JUVENILE,62.0,4.0
446,JUVENILE,5.0,225.0
447,ADULT_FEMALE_G,12.0,161.0
448,JUVENILE,62.0,4.0
449,ADULT_FEMALE_G,9.0,209.0
450,ADULT_FEMALE_G,7.0,216.0
451,ADULT_FEMALE_G,0.0,218.0
452,ADULT_MALE,282.0,162.0
453,ADULT_FEMALE_G,5.0,226.0
454,ADULT_FEMALE_G,287.0,175.0
455,JUVENILE,285.0,178.0
456,JUVENILE,285.0,178.0
457,ADULT_FEMALE_G,11.0,167.0
458,ADULT_MALE,51.0,10.0
459,ADULT_FEMALE_G,1.0,205.0
460,JUVENILE,62.0,4.0
461,JUVENILE,5.0,225.0
462,JUVENILE,307.0,173.0
463,JUVENILE,285.0,178.0
464,JUVENILE,62.0,4.0
465,JUVENILE,62.0,4.0
466,ADULT_FEMALE_G,50.0,8.0
467,JUVENILE,11.0,169.0
468,JUVENILE,11.0,169.0
469,JUVENILE,284.0,175.0
470,ADULT_MALE,14.0,166.0
471,ADULT_FEMALE_G,4.0,170.0
472,ADULT_FEMALE_G,38.0,12.0
473,JUVENILE,5.0,225.0
474,ADULT_MALE,62.0,5.0
475,ADULT_FEMALE_G,292.0,162.0
476,JUVENILE,11.0,169.0
477,ADULT_MALE,61.0,5.0
478,ADULT_FEMALE_G,63.0,1.0
479,ADULT_FEMALE_G,65.0,2.0
480,ADULT_FEMALE_G,299.0,173.0
481,JUVENILE,11.0,169.0
482,JUVENILE,5.0,225.0
483,JUVENILE,284.0,175.0
484,ADULT_FEMALE_G,12.0,163.0
485,ADULT_FEMALE_G,2.0,230.0
486,ADULT_FEMALE_G,13.0,167.0
487,ADULT_FEMALE_G,0.0,179.0
488,JUVENILE,41.0,23.0
489,ADULT_FEMALE_G,4.0,224.0
490,ADULT_FEMALE_G,1.0,206.0
491,JUVENILE,62.0,4.0
492,ADULT_MALE,62.0,18.0
493,JUVENILE,11.0,169.0
494,ADULT_FEMALE_G,53.0,4.0
495,JUVENILE,11.0,169.0
496,ADULT_FEMALE_G,67.0,3.0
497,JUVENILE,5.0,225.0
498,JUVENILE,62.0,4.0
499,ADULT_MALE,3.0,226.0
500,JUVENILE,11.0,169.0
501,JUVENILE,5.0,225.0
502,JUVENILE,5.0,225.0
503,JUVENILE,5.0,225.0
504,JUVENILE,62.0,4.0
505,ADULT_MALE,274.0,159.0
506,JUVENILE,5.0,225.0
507,ADULT_MALE,302.0,182.0
508,ADULT_MALE,55.0,7.0
509,JUVENILE,5.0,225.0
510,JUVENILE,5.0,225.0
511,ADULT_FEMALE_G,5.0,172.0
512,ADULT_FEMALE_G,2.0,218.0
513,ADULT_MALE,61.0,6.0
514,JUVENILE,284.0,175.0
515,ADULT_FEMALE_G,3.0,224.0
516,JUVENILE,307.0,173.0
517,ADULT_MALE,6.0,167.0
518,JUVENILE,5.0,225.0
519,ADULT_FEMALE_G,2.0,230.0
520,ADULT_FEMALE_G,45.0,28.0
521,JUVENILE,62.0,4.0
522,JUVENILE,11.0,169.0
523,JUVENILE,285.0,178.0
