epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,10676.9,0.01212,0.60135,1.08636,0.94632,0.93116,0.96446,0.69292,0.00844,0.34851,0.78586,0.0208784,0.00695948,0.0208784,0.00695948,0.0208784,0.00695948,0.0208784,0.00695948
70,10765.1,0.01215,0.6048,1.08474,0.94592,0.93169,0.96447,0.69396,0.00844,0.35089,0.78564,0.0207443,0.00691476,0.0207443,0.00691476,0.0207443,0.00691476,0.0207443,0.00691476
71,10849.2,0.01209,0.59876,1.07567,0.94711,0.92963,0.96371,0.69449,0.00843,0.35017,0.78342,0.0206102,0.00687005,0.0206102,0.00687005,0.0206102,0.00687005,0.0206102,0.00687005
72,10934.1,0.01206,0.60171,1.07209,0.9454,0.93036,0.96428,0.69429,0.00843,0.35027,0.78367,0.020476,0.00682534,0.020476,0.00682534,0.020476,0.00682534,0.020476,0.00682534
73,11018.5,0.01202,0.5934,1.06908,0.94716,0.92896,0.96468,0.69488,0.00844,0.34962,0.7847,0.0203419,0.00678062,0.0203419,0.00678062,0.0203419,0.00678062,0.0203419,0.00678062
74,11105.6,0.01194,0.59157,1.06822,0.94794,0.92868,0.96475,0.69474,0.00844,0.34945,0.78482,0.0202077,0.00673591,0.0202077,0.00673591,0.0202077,0.00673591,0.0202077,0.00673591
75,11190.8,0.01202,0.59444,1.07049,0.94268,0.92896,0.96387,0.6946,0.00844,0.34837,0.78473,0.0200736,0.0066912,0.0200736,0.0066912,0.0200736,0.0066912,0.0200736,0.0066912
76,11276,0.01199,0.59405,1.06981,0.94352,0.92813,0.96415,0.6945,0.00843,0.3457,0.78406,0.0199394,0.00664648,0.0199394,0.00664648,0.0199394,0.00664648,0.0199394,0.00664648
77,11360.5,0.01192,0.59538,1.06852,0.95299,0.92259,0.96443,0.69469,0.00842,0.34486,0.7832,0.0198053,0.00660177,0.0198053,0.00660177,0.0198053,0.00660177,0.0198053,0.00660177
78,11446.2,0.01184,0.58734,1.06265,0.95229,0.92168,0.9642,0.69515,0.00841,0.34447,0.78277,0.0196712,0.00655706,0.0196712,0.00655706,0.0196712,0.00655706,0.0196712,0.00655706
79,11533.3,0.01192,0.58845,1.06825,0.95161,0.92168,0.96409,0.69576,0.00842,0.34402,0.78274,0.019537,0.00651234,0.019537,0.00651234,0.019537,0.00651234,0.019537,0.00651234
80,11618.3,0.01176,0.58589,1.06132,0.95072,0.92077,0.96403,0.69592,0.00842,0.34435,0.78269,0.0194029,0.00646763,0.0194029,0.00646763,0.0194029,0.00646763,0.0194029,0.00646763
81,11703.3,0.01193,0.59066,1.06749,0.95102,0.92077,0.96433,0.69658,0.00841,0.34402,0.78277,0.0192687,0.00642291,0.0192687,0.00642291,0.0192687,0.00642291,0.0192687,0.00642291
82,18336.3,0.0118,0.5826,1.06237,0.95119,0.92291,0.96568,0.69742,0.00841,0.34345,0.78225,0.0191346,0.0063782,0.0191346,0.0063782,0.0191346,0.0063782,0.0191346,0.0063782
83,18427.3,0.01176,0.5809,1.05686,0.94665,0.92532,0.96429,0.69836,0.0084,0.34402,0.78177,0.0190005,0.00633349,0.0190005,0.00633349,0.0190005,0.00633349,0.0190005,0.00633349
