number,value,datetime_start,datetime_complete,duration,params_box,params_cls,params_dfl,params_fliplr,params_flipud,params_hsv_h,params_hsv_s,params_hsv_v,params_lr0,params_lrf,params_mixup,params_momentum,params_mosaic,params_warmup_epochs,params_weight_decay,state
15,0.9602918936844549,2026-03-28 14:22:06.710747,2026-03-28 14:43:14.832182,0 days 00:21:08.121435,0.11007200071509651,0.33015956998051227,1.294424034984032,0.3029380061534526,0.24455582054884736,0.0157900678256559,0.7960315773068666,0.261892831267761,0.00011912274939931164,0.05717879500837588,0.07701095812096954,0.7691998383372043,0.5965493120810803,1.0822097489127325,2.4109788328226264e-05,COMPLETE
16,0.9536409739952557,2026-03-28 14:43:14.845813,2026-03-28 15:04:05.678027,0 days 00:20:50.832214,0.07937337931240458,0.2108847221354994,1.1014869217925494,0.4326379807205847,0.25215639044708604,0.007543412878022532,0.6835820272376449,0.5038103574932726,0.003089126618220524,0.134431664245853,0.01889033218696068,0.7034083949261698,0.6938318604381584,2.2002759696586494,2.5804100929402394e-05,COMPLETE
17,0.9502986999432848,2026-03-28 15:04:05.700195,2026-03-28 15:25:00.837489,0 days 00:20:55.137294,0.06448466144309359,0.32560483524879585,1.3752670653669996,0.3579415845047566,0.10311743450065836,0.02639278529973696,0.6578163594165967,0.27162677389171264,0.02207308909422871,0.2272465889622089,0.09999389665974,0.7767987642379222,0.6469562438787473,0.8030476169627652,2.2117751477050605e-05,COMPLETE
18,0.9610340359520072,2026-03-28 15:25:00.854540,2026-03-28 15:45:26.506258,0 days 00:20:25.651718,0.0962625830418963,0.3619787638368088,1.191315965621172,0.5139389955165948,0.19529105328854288,0.02064122591136953,0.5761560052269367,0.26927082154040516,0.024038767870241083,0.11200542100105579,0.048731454129261664,0.8538467336868455,0.5715751332976007,1.764508064761121,0.00015414623478707238,COMPLETE
19,0.9420883759191887,2026-03-28 15:45:26.506258,2026-03-28 16:05:48.825033,0 days 00:20:22.318775,0.11743167546098002,0.28701061498336705,1.4687770281644952,0.34213612671632615,0.271463308217759,0.009136269040656172,0.7430036446966843,0.5932802229365557,0.001947788182162278,0.1587718151175474,0.10105900047695088,0.7806239575264229,0.7216724310743645,2.1573031507362117,1.1355971790846865e-05,COMPLETE
20,0.955093912116575,2026-03-28 16:05:48.836029,2026-03-28 16:26:01.045147,0 days 00:20:12.209118,0.08690969173082845,0.20499893017712248,1.063283439010162,0.4421909897869248,0.12156787340502179,0.0022039516332191082,0.6004751734599048,0.45299022573051095,0.007813747428633137,0.1017068546064891,0.03158357287160507,0.742364411516598,0.8426948158831225,1.5310086031325656,3.390243698917629e-05,COMPLETE
21,0.9528650015615018,2026-03-28 16:26:01.055148,2026-03-28 16:46:29.615960,0 days 00:20:28.560812,0.09296835728224916,0.36652730412626283,1.22831324582326,0.5328679174738851,0.19303542993910247,0.020707600854362705,0.554040711536155,0.26701852592930686,0.024602924548101195,0.09648096564073347,0.0516028968746405,0.8545995699404276,0.569269046219439,1.8155576676730025,0.00022890275572138953,COMPLETE
22,0.9507229272330795,2026-03-28 16:46:29.621975,2026-03-28 17:06:34.463099,0 days 00:20:04.841124,0.07105560776385629,0.377306525203051,1.1532612008960723,0.5040474725404351,0.2235749439154039,0.012986346097038484,0.7270727410851047,0.21726024266630534,0.02851186152503259,0.24445244434615881,0.04047830654328195,0.8361087168366557,0.5677580506462078,1.604069238224615,0.00014236872984492685,COMPLETE
23,0.9582026820776698,2026-03-28 17:06:34.463099,2026-03-28 17:27:04.719014,0 days 00:20:30.255915,0.10886663266764325,0.2868317435423641,1.2409078758580683,0.30262361800935755,0.18431682700834434,0.019191892764389155,0.6276056543809166,0.2544341566867934,0.011918098664523522,0.13068862579910157,0.07966607974696586,0.8815334699618005,0.642574567946437,1.186906622226784,1.756199168633293e-05,COMPLETE
24,0.958972776265792,2026-03-28 17:27:04.751087,2026-03-28 17:47:49.956817,0 days 00:20:45.205730,0.07707243477286699,0.3637847575052489,1.3612417499118714,0.47879520228338807,0.22319934662744806,0.014600049155767871,0.5359010145952317,0.29035725170763477,0.01911802302142305,0.18501580619385238,0.12220210990497393,0.7118584214321125,0.50086830170247,2.4503445894649825,0.00010222567574762565,COMPLETE
